Date;EM
Dec 31, 1987;100.000
Jan 29, 1988;109.838
Feb 29, 1988;110.211
Mar 31, 1988;122.046
Apr 29, 1988;128.561
May 31, 1988;132.413
Jun 30, 1988;136.911
Jul 29, 1988;133.431
Aug 31, 1988;129.857
Sep 30, 1988;138.272
Oct 31, 1988;137.379
Nov 30, 1988;136.792
Dec 30, 1988;140.427
Jan 31, 1989;138.657
Feb 28, 1989;149.265
Mar 31, 1989;164.137
Apr 28, 1989;195.288
May 31, 1989;197.921
Jun 30, 1989;173.906
Jul 31, 1989;185.345
Aug 31, 1989;189.647
Sep 29, 1989;213.550
Oct 31, 1989;216.541
Nov 30, 1989;206.448
Dec 29, 1989;231.649
Jan 31, 1990;239.272
Feb 28, 1990;248.656
Mar 30, 1990;215.014
Apr 30, 1990;230.525
May 31, 1990;249.460
Jun 29, 1990;258.080
Jul 31, 1990;280.836
Aug 31, 1990;245.007
Sep 28, 1990;213.721
Oct 31, 1990;209.753
Nov 30, 1990;198.807
Dec 31, 1990;207.209
Jan 31, 1991;223.961
Feb 28, 1991;257.094
Mar 29, 1991;267.660
Apr 30, 1991;270.479
May 31, 1991;291.701
Jun 28, 1991;281.281
Jul 31, 1991;295.864
Aug 30, 1991;302.098
Sep 30, 1991;290.518
Oct 31, 1991;302.373
Nov 29, 1991;297.880
Dec 31, 1991;331.349
Jan 31, 1992;369.708
Feb 28, 1992;386.133
Mar 31, 1992;399.198
Apr 30, 1992;396.425
May 29, 1992;395.003
Jun 30, 1992;355.819
Jul 31, 1992;359.688
Aug 31, 1992;342.916
Sep 30, 1992;344.094
Oct 30, 1992;362.499
Nov 30, 1992;358.594
Dec 31, 1992;369.135
Jan 29, 1993;370.920
Feb 26, 1993;377.140
Mar 31, 1993;389.612
Apr 30, 1993;398.572
May 31, 1993;409.677
Jun 30, 1993;421.825
Jul 30, 1993;432.967
Aug 31, 1993;469.526
Sep 30, 1993;486.699
Oct 29, 1993;530.367
Nov 30, 1993;553.837
Dec 31, 1993;645.384
Jan 31, 1994;657.126
Feb 28, 1994;645.436
Mar 31, 1994;587.031
Apr 29, 1994;575.289
May 31, 1994;594.978
Jun 30, 1994;578.578
Jul 29, 1994;614.553
Aug 31, 1994;690.827
Sep 30, 1994;698.678
Oct 31, 1994;686.075
Nov 30, 1994;650.403
Dec 30, 1994;598.165
Jan 31, 1995;534.525
Feb 28, 1995;520.816
Mar 31, 1995;524.125
Apr 28, 1995;547.638
May 31, 1995;576.772
Jun 30, 1995;578.478
Jul 31, 1995;591.463
Aug 31, 1995;577.531
Sep 29, 1995;574.790
Oct 31, 1995;552.787
Nov 30, 1995;542.929
Dec 29, 1995;567.009
Jan 31, 1996;607.313
Feb 29, 1996;597.657
Mar 29, 1996;602.312
Apr 30, 1996;626.394
